Microsoft (R) COFF/PE Dumper Version 8.00.50727.762
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\windows\system32\kernel32.dll

File Type: DLL

  Section contains the following exports for KERNEL32.dll

    00000000 characteristics
    49C4D12E time date stamp Sat Mar 21 12:36:14 2009
        0.00 version
           1 ordinal base
         954 number of functions
         954 number of names

    ordinal hint RVA      name

          1    0 0000A6E4 ActivateActCtx
          2    1 0003551D AddAtomA
          3    2 000326F1 AddAtomW
          4    3 00071DFF AddConsoleAliasA
          5    4 00071DC1 AddConsoleAliasW
          6    5 00059412 AddLocalAlternateComputerNameA
          7    6 000592F6 AddLocalAlternateComputerNameW
          8    7 0002BF11 AddRefActCtx
          9    8          AddVectoredExceptionHandler (forwarded to NTDLL.RtlAddVectoredExceptionHandler)
         10    9 00072451 AllocConsole
         11    A 0005F6D4 AllocateUserPhysicalPages
         12    B 0003597F AreFileApisANSI
         13    C 0002E45A AssignProcessToJobObject
         14    D 00072639 AttachConsole
         15    E 0005725A BackupRead
         16    F 00056340 BackupSeek
         17   10 000578B5 BackupWrite
         18   11 00016877 BaseCheckAppcompatCache
         19   12 0006CF46 BaseCleanupAppcompatCache
         20   13 0006CFCA BaseCleanupAppcompatCacheSupport
         21   14 0006CE01 BaseDumpAppcompatCache
         22   15 0006CD7F BaseFlushAppcompatCache
         23   16 0001656D BaseInitAppcompatCache
         24   17 0002B38D BaseInitAppcompatCacheSupport
         25   18 000174E3 BaseProcessInitPostImport
         26   19 0003838A BaseQueryModuleData
         27   1A 000151C0 BaseUpdateAppcompatCache
         28   1B 000195B7 BasepCheckWinSaferRestrictions
         29   1C 00037AA7 Beep
         30   1D 00070DBB BeginUpdateResourceA
         31   1E 00070C18 BeginUpdateResourceW
         32   1F 0002C03C BindIoCompletionCallback
         33   20 0006C02D BuildCommDCBA
         34   21 0006BFFF BuildCommDCBAndTimeoutsA
         35   22 0006C05F BuildCommDCBAndTimeoutsW
         36   23 0006C0B9 BuildCommDCBW
         37   24 00060E36 CallNamedPipeA
         38   25 00060BE7 CallNamedPipeW
         39   26 00061BFF CancelDeviceWakeupRequest
         40   27 000300E2 CancelIo
         41   28 00063F58 CancelTimerQueueTimer
         42   29 0002CC19 CancelWaitableTimer
         43   2A 000127C3 ChangeTimerQueueTimer
         44   2B 00061AB9 CheckNameLegalDOS8Dot3A
         45   2C 00061879 CheckNameLegalDOS8Dot3W
         46   2D 0005AAF2 CheckRemoteDebuggerPresent
         47   2E 00067E31 ClearCommBreak
         48   2F 000666BF ClearCommError
         49   30 0001D3F6 CloseConsoleHandle
         50   31 00009BE7 CloseHandle
         51   32 0002C87D CloseProfileUserMapping
         52   33 0002F611 CmdBatNotification
         53   34 000679B1 CommConfigDialogA
         54   35 000678BD CommConfigDialogW
         55   36 00010B79 CompareFileTime
         56   37 0000D117 CompareStringA
         57   38 0000A3FE CompareStringW
         58   39 00031463 ConnectNamedPipe
         59   3A 000730FF ConsoleMenuControl
         60   3B 0005B53D ContinueDebugEvent
         61   3C 000383FF ConvertDefaultLocale
         62   3D 0002FEDF ConvertFiberToThread
         63   3E 0002FF1E ConvertThreadToFiber
