Microsoft (R) COFF/PE Dumper Version 9.00.30729.01
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\syswow64\ws2_32.dll

File Type: DLL

  Section contains the following exports for WS2_32.dll

    00000000 characteristics
    4A5BBF59 time date stamp Tue Jul 14 01:12:25 2009
        0.00 version
           1 ordinal base
         500 number of functions
         167 number of names

    ordinal hint RVA      name

         25    0 0000DE59 FreeAddrInfoEx = _FreeAddrInfoEx@4
         26    1 0000DE59 FreeAddrInfoExW = _FreeAddrInfoEx@4
         27    2 00006387 FreeAddrInfoW = _freeaddrinfo@4
         28    3 0001413B GetAddrInfoExA = _GetAddrInfoExA@40
         29    4 0000D2B5 GetAddrInfoExW = _GetAddrInfoExW@40
         30    5 000060F5 GetAddrInfoW = _GetAddrInfoW@16
         31    6 0000E444 GetNameInfoW = _GetNameInfoW@28
         32    7 0001355F InetNtopW = _InetNtopW@16
         33    8 0001347C InetPtonW = _InetPtonW@12
         34    9 00014097 SetAddrInfoExA = _SetAddrInfoExA@48
         35    A 0000ECBC SetAddrInfoExW = _SetAddrInfoExW@48
        500    B 0001E21C WEP
         36    C 0001DE53 WPUCompleteOverlappedRequest = _WPUCompleteOverlappedRequest@20
         37    D 0000E66B WSAAccept = _WSAAccept@20
         38    E 00003837 WSAAddressToStringA = _WSAAddressToStringA@20
         39    F 00003FEF WSAAddressToStringW = _WSAAddressToStringW@20
         40   10 00020159 WSAAdvertiseProvider = _WSAAdvertiseProvider@8
        102   11 00016E2B WSAAsyncGetHostByAddr = _WSAAsyncGetHostByAddr@28
        103   12 00016D2A WSAAsyncGetHostByName = _WSAAsyncGetHostByName@20
        105   13 00016F0E WSAAsyncGetProtoByName = _WSAAsyncGetProtoByName@20
        104   14 0001700F WSAAsyncGetProtoByNumber = _WSAAsyncGetProtoByNumber@20
        107   15 00016B67 WSAAsyncGetServByName = _WSAAsyncGetServByName@24
        106   16 00016C6E WSAAsyncGetServByPort = _WSAAsyncGetServByPort@24
        101   17 0001AACC WSAAsyncSelect = _WSAAsyncSelect@16
        108   18 000170C2 WSACancelAsyncRequest = _WSACancelAsyncRequest@4
        113   19 00014E08 WSACancelBlockingCall = _WSACancelBlockingCall@0
        116   1A 00003661 WSACleanup = _WSACleanup@0
         41   1B 00006AA0 WSACloseEvent = _WSACloseEvent@4
         42   1C 0000BB9B WSAConnect = _WSAConnect@28
         43   1D 0001BA95 WSAConnectByList = _WSAConnectByList@32
         44   1E 0001C36E WSAConnectByNameA = _WSAConnectByNameA@36
         45   1F 0001BFE7 WSAConnectByNameW = _WSAConnectByNameW@36
         46   20 00006A7C WSACreateEvent = _WSACreateEvent@0
         47   21 00015C7A WSADuplicateSocketA = _WSADuplicateSocketA@12
         48   22 00015BEC WSADuplicateSocketW = _WSADuplicateSocketW@12
         49   23 00019A79 WSAEnumNameSpaceProvidersA = _WSAEnumNameSpaceProvidersA@8
         50   24 00019AD9 WSAEnumNameSpaceProvidersExA = _WSAEnumNameSpaceProvidersExA@8
         58   25 00019B39 WSAEnumNameSpaceProvidersExW = _WSAEnumNameSpaceProvidersExW@8
