Microsoft (R) COFF/PE Dumper Version 9.00.30729.01
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\syswow64\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    4BA97759 time date stamp Wed Mar 24 03:22:17 2010
        0.00 version
           1 ordinal base
        2031 number of functions
        2023 number of names

    ordinal hint RVA      name

         18    0 0006E797 A_SHAFinal = _A_SHAFinal@8
         19    1 0006C849 A_SHAInit = _A_SHAInit@4
         20    2 0006E867 A_SHAUpdate = _A_SHAUpdate@12
         21    3 000ACC01 AlpcAdjustCompletionListConcurrencyCount = _AlpcAdjustCompletionListConcurrencyCount@8
         22    4 000AC880 AlpcFreeCompletionListMessage = _AlpcFreeCompletionListMessage@8
         23    5 000AC99C AlpcGetCompletionListLastMessageInformation = _AlpcGetCompletionListLastMessageInformation@12
         24    6 000AC968 AlpcGetCompletionListMessageAttributes = _AlpcGetCompletionListMessageAttributes@8
         25    7 00078CFA AlpcGetHeaderSize = _AlpcGetHeaderSize@4
         26    8 00078C8F AlpcGetMessageAttribute = _AlpcGetMessageAttribute@8
         27    9 000AC6C9 AlpcGetMessageFromCompletionList = _AlpcGetMessageFromCompletionList@8
         28    A 000AC9C3 AlpcGetOutstandingCompletionListMessageCount = _AlpcGetOutstandingCompletionListMessageCount@4
         29    B 00078CC6 AlpcInitializeMessageAttribute = _AlpcInitializeMessageAttribute@16
         30    C 000ACC25 AlpcMaxAllowedMessageLength = _AlpcMaxAllowedMessageLength@0
         31    D 000ACB7C AlpcRegisterCompletionList = _AlpcRegisterCompletionList@20
         32    E 000AC9E2 AlpcRegisterCompletionListWorkerThread = _AlpcRegisterCompletionListWorkerThread@4
         33    F 000ACBE5 AlpcRundownCompletionList = _AlpcRundownCompletionList@4
         34   10 000ACBC9 AlpcUnregisterCompletionList = _AlpcUnregisterCompletionList@4
         35   11 000ACABD AlpcUnregisterCompletionListWorkerThread = _AlpcUnregisterCompletionListWorkerThread@4
         36   12 000AC3B7 CsrAllocateCaptureBuffer = _CsrAllocateCaptureBuffer@8
         37   13 000AC3D7 CsrAllocateMessagePointer = _CsrAllocateMessagePointer@12
         38   14 000AC3E7 CsrCaptureMessageBuffer = _CsrCaptureMessageBuffer@16
         39   15 000AC490 CsrCaptureMessageMultiUnicodeStringsInPlace = _CsrCaptureMessageMultiUnicodeStringsInPlace@12
         40   16 000AC3F7 CsrCaptureMessageString = _CsrCaptureMessageString@20
         41   17 000AC407 CsrCaptureTimeout = _CsrCaptureTimeout@8
         42   18 000AC3A7 CsrClientCallServer = _CsrClientCallServer@16
         43   19 00046DFD CsrClientConnectToServer = _CsrClientConnectToServer@20
         44   1A 000AC3C7 CsrFreeCaptureBuffer = _CsrFreeCaptureBuffer@4
         45   1B 000AC43A CsrGetProcessId = _CsrGetProcessId@0
         46   1C 000AC39D CsrIdentifyAlertableThread = _CsrIdentifyAlertableThread@0
         47   1D 000A12EC CsrSetPriorityClass = _CsrSetPriorityClass@8
         48   1E 000AC50C CsrVerifyRegion = _CsrVerifyRegion@8
         49   1F 0001000C DbgBreakPoint = _DbgBreakPoint@0
