Microsoft (R) COFF/PE Dumper Version 9.00.30729.01
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\system32\user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    4A5BC567 time date stamp Tue Jul 14 01:38:15 2009
        0.00 version
        1500 ordinal base
        1003 number of functions
         830 number of names

    ordinal hint RVA      name

       1502    0 00009790 ActivateKeyboardLayout = ZwUserActivateKeyboardLayout
       1503    1 0002B410 AddClipboardFormatListener = NtUserAddClipboardFormatListener
       1504    2 00026088 AdjustWindowRect = AdjustWindowRect
       1505    3 00019734 AdjustWindowRectEx = AdjustWindowRectEx
       1506    4 0007F2BC AlignRects = AlignRects
       1507    5 00042444 AllowForegroundActivation = AllowForegroundActivation
       1508    6 00009140 AllowSetForegroundWindow = AllowSetForegroundWindow
       1509    7 0001EA54 AnimateWindow = AnimateWindow
       1510    8 0007A630 AnyPopup = AnyPopup
       1511    9 0007D8AC AppendMenuA = AppendMenuA
       1512    A 00015E28 AppendMenuW = AppendMenuW
       1513    B 00041E14 ArrangeIconicWindows = ArrangeIconicWindows
       1514    C 0000FDC0 AttachThreadInput = NtUserAttachThreadInput
       1515    D 0000F6F0 BeginDeferWindowPos = BeginDeferWindowPos
       1516    E 0001B3A0 BeginPaint = ZwUserBeginPaint
       1517    F 0002B430 BlockInput = ZwUserBlockInput
       1518   10 0002571C BringWindowToTop = BringWindowToTop
       1519   11 0007D9AC BroadcastSystemMessage = BroadcastSystemMessageA
       1520   12 0007D9AC BroadcastSystemMessageA = BroadcastSystemMessageA
       1521   13 0007D97C BroadcastSystemMessageExA = BroadcastSystemMessageExA
       1522   14 000043C0 BroadcastSystemMessageExW = BroadcastSystemMessageExW
       1523   15 000091F0 BroadcastSystemMessageW = BroadcastSystemMessageW
       1524   16 00075F50 BuildReasonArray = BuildReasonArray
       1525   17 00019C50 CalcMenuBar = ZwUserCalcMenuBar
       1526   18 0001F1E0 CalculatePopupWindowPosition = NtUserCalculatePopupWindowPosition
       1527   19 0007E110 CallMsgFilter = CallMsgFilterA
       1528   1A 0007E110 CallMsgFilterA = CallMsgFilterA
       1529   1B 00019E1C CallMsgFilterW = CallMsgFilterW
       1530   1C 0000DD30 CallNextHookEx = CallNextHookEx
       1531   1D 00042BC0 CallWindowProcA = CallWindowProcA
       1532   1E 000163E8 CallWindowProcW = CallWindowProcW
       1533   1F 00051694 CancelShutdown = CancelShutdown
       1534   20 00041E24 CascadeChildWindows = CascadeChildWindows
       1535   21 0006FE8C CascadeWindows = CascadeWindows
       1536   22 000254F0 ChangeClipboardChain = NtUserChangeClipboardChain
       1537   23 0007E0E0 ChangeDisplaySettingsA = ChangeDisplaySettingsA
       1538   24 00026380 ChangeDisplaySettingsExA = ChangeDisplaySettingsExA
       1539   25 00050900 ChangeDisplaySettingsExW = ChangeDisplaySettingsExW
       1540   26 00026160 ChangeDisplaySettingsW = ChangeDisplaySettingsW
       1541   27 00070488 ChangeMenuA = ChangeMenuA
       1542   28 000703E4 ChangeMenuW = ChangeMenuW
       1543   29 000120A0 ChangeWindowMessageFilter = ChangeWindowMessageFilter
