Microsoft (R) COFF/PE Dumper Version 9.00.30729.01
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\system32\kernel32.dll

File Type: DLL

  Section contains the following exports for KERNEL32.dll

    00000000 characteristics
    4A5BC32C time date stamp Tue Jul 14 01:28:44 2009
        0.00 version
           1 ordinal base
        1386 number of functions
        1386 number of names

    ordinal hint RVA      name

          1    0          AcquireSRWLockExclusive (forwarded to NTDLL.RtlAcquireSRWLockExclusive)
          2    1          AcquireSRWLockShared (forwarded to NTDLL.RtlAcquireSRWLockShared)
          3    2 000044B0 ActivateActCtx = ActivateActCtx
          4    3 00066B20 AddAtomA = AddAtomA
          5    4 00066AC0 AddAtomW = AddAtomW
          6    5 0006AD90 AddConsoleAliasA = AddConsoleAliasA
          7    6 0006AE00 AddConsoleAliasW = AddConsoleAliasW
          8    7 0004B7D0 AddIntegrityLabelToBoundaryDescriptor = AddIntegrityLabelToBoundaryDescriptor
          9    8 000956E0 AddLocalAlternateComputerNameA = AddLocalAlternateComputerNameA
         10    9 0008FBB0 AddLocalAlternateComputerNameW = AddLocalAlternateComputerNameW
         11    A 00048CC0 AddRefActCtx = AddRefActCtx
         12    B 0004B800 AddSIDToBoundaryDescriptor = AddSIDToBoundaryDescriptor
         13    C 0004E710 AddSecureMemoryCacheCallback = AddSecureMemoryCacheCallback
         14    D          AddVectoredContinueHandler (forwarded to NTDLL.RtlAddVectoredContinueHandler)
         15    E          AddVectoredExceptionHandler (forwarded to NTDLL.RtlAddVectoredExceptionHandler)
         16    F 00096D50 AdjustCalendarDate = AdjustCalendarDate
         17   10 00085920 AllocConsole = AllocConsole
         18   11 000481F0 AllocateUserPhysicalPages = AllocateUserPhysicalPages
         19   12 0005B2D0 AllocateUserPhysicalPagesNuma = AllocateUserPhysicalPagesNuma
         20   13 0007F450 ApplicationRecoveryFinished = ApplicationRecoveryFinished
         21   14 00086FF0 ApplicationRecoveryInProgress = ApplicationRecoveryInProgress
         22   15 0004CAD0 AreFileApisANSI = AreFileApisANSIStub
         23   16 0000BC20 AssignProcessToJobObject = AssignProcessToJobObject
         24   17 00085830 AttachConsole = AttachConsole
         25   18 00090030 BackupRead = BackupRead
         26   19 00077D10 BackupSeek = BackupSeek
         27   1A 0008FD30 BackupWrite = BackupWrite
         28   1B 000870B0 BaseCheckAppcompatCache = BaseCheckAppcompatCache
         29   1C 00087000 BaseCheckAppcompatCacheEx = BaseCheckAppcompatCacheEx
         30   1D 000095B0 BaseCheckRunApp = BaseCheckRunApp
         31   1E 00048A60 BaseCleanupAppcompatCacheSupport = BaseCleanupAppcompatCacheSupport
         32   1F 00008140 BaseDllReadWriteIniFile = BaseDllReadWriteIniFile
         33   20 00048920 BaseDumpAppcompatCache = BaseDumpAppcompatCache
         34   21 0006FA30 BaseFlushAppcompatCache = BaseFlushAppcompatCache
         35   22 00002500 BaseFormatObjectAttributes = BaseFormatObjectAttributes
         36   23 00043470 BaseFormatTimeOut = BaseFormatTimeOut
         37   24 0006F9C0 BaseGenerateAppCompatData = BaseGenerateAppCompatData
         38   25 000570C0 BaseGetNamedObjectDirectory = BaseGetNamedObjectDirectory
         39   26 0006FBD0 BaseInitAppcompatCacheSupport = BaseInitAppcompatCacheSupport
         40   27 0001C6E0 BaseIsAppcompatInfrastructureDisabled = IsShimInfrastructureDisabled
         41   28 00087170 BaseQueryModuleData = BaseQueryModuleData
         42   29 00022D30 BaseSetLastNTError = BaseSetLastNTError
         43   2A 0001F560 BaseThreadInitThunk = BaseThreadInitThunk
         44   2B 0005B5B0 BaseUpdateAppcompatCache = BaseUpdateAppcompatCache
         45   2C 000433B0 BaseVerifyUnicodeString = BaseVerifyUnicodeString
         46   2D 000153E0 Basep8BitStringToDynamicUnicodeString = Basep8BitStringToDynamicUnicodeString
         47   2E 00056F50 BasepAllocateActivationContextActivationBlock = BasepAllocateActivationContextActivationBlock
