Microsoft (R) COFF/PE Dumper Version 9.00.30729.01
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\system32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    4BA97968 time date stamp Wed Mar 24 03:31:04 2010
        0.00 version
           1 ordinal base
        1991 number of functions
        1983 number of names

    ordinal hint RVA      name

          9    0 000057C0 A_SHAFinal = A_SHAFinal
         10    1 00005590 A_SHAInit = A_SHAInit
         11    2 00005900 A_SHAUpdate = A_SHAUpdate
         12    3 00012130 AlpcAdjustCompletionListConcurrencyCount = AlpcAdjustCompletionListConcurrencyCount
         13    4 00013070 AlpcFreeCompletionListMessage = AlpcFreeCompletionListMessage
         14    5 000AFB50 AlpcGetCompletionListLastMessageInformation = AlpcGetCompletionListLastMessageInformation
         15    6 000BE4E0 AlpcGetCompletionListMessageAttributes = AlpcGetCompletionListMessageAttributes
         16    7 0000CED0 AlpcGetHeaderSize = AlpcGetHeaderSize
         17    8 000534D0 AlpcGetMessageAttribute = AlpcGetMessageAttribute
         18    9 00012480 AlpcGetMessageFromCompletionList = AlpcGetMessageFromCompletionList
         19    A 000AFB30 AlpcGetOutstandingCompletionListMessageCount = AlpcGetOutstandingCompletionListMessageCount
         20    B 0000CE90 AlpcInitializeMessageAttribute = AlpcInitializeMessageAttribute
         21    C 00010FB0 AlpcMaxAllowedMessageLength = AlpcMaxAllowedMessageLength
         22    D 00011F80 AlpcRegisterCompletionList = AlpcRegisterCompletionList
         23    E 00012320 AlpcRegisterCompletionListWorkerThread = AlpcRegisterCompletionListWorkerThread
         24    F 000AFAF0 AlpcRundownCompletionList = AlpcRundownCompletionList
         25   10 000AFB10 AlpcUnregisterCompletionList = AlpcUnregisterCompletionList
         26   11 000123C0 AlpcUnregisterCompletionListWorkerThread = AlpcUnregisterCompletionListWorkerThread
         27   12 0003E390 CsrAllocateCaptureBuffer = CsrAllocateCaptureBuffer
         28   13 0004CD60 CsrAllocateMessagePointer = CsrAllocateMessagePointer
         29   14 00049CE0 CsrCaptureMessageBuffer = CsrCaptureMessageBuffer
         30   15 0004A330 CsrCaptureMessageMultiUnicodeStringsInPlace = CsrCaptureMessageMultiUnicodeStringsInPlace
         31   16 0004A430 CsrCaptureMessageString = CsrCaptureMessageString
         32   17 000B18D0 CsrCaptureTimeout = CsrCaptureTimeout
         33   18 000535E0 CsrClientCallServer = CsrClientCallServer
         34   19 00040D30 CsrClientConnectToServer = CsrClientConnectToServer
         35   1A 00045370 CsrFreeCaptureBuffer = CsrFreeCaptureBuffer
         36   1B 000B18F0 CsrGetProcessId = CsrGetProcessId
         37   1C 00049E90 CsrIdentifyAlertableThread = RtlReleaseMemoryStream
         38   1D 000B1300 CsrSetPriorityClass = CsrSetPriorityClass
         39   1E 000BB980 CsrVerifyRegion = CsrVerifyRegion
         40   1F 0004EF90 DbgBreakPoint = DbgBreakPoint
         41   20 00008B10 DbgPrint = DbgPrint
         42   21 0004A130 DbgPrintEx = DbgPrintEx
         43   22 000D3540 DbgPrintReturnControlC = DbgPrintReturnControlC
         44   23 000AF9E0 DbgPrompt = DbgPrompt
