Microsoft (R) COFF/PE Dumper Version 8.00.50727.762
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\Windows\SysWoW64\user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    49E01B33 time date stamp Sat Apr 11 06:23:15 2009
        0.00 version
        2000 ordinal base
         780 number of functions
         779 number of names

    ordinal hint RVA      name

       2001    0 00075C8C ActivateKeyboardLayout
       2002    1 00075CA9 AddClipboardFormatListener
       2003    2 00022513 AdjustWindowRect
       2004    3 00023342 AdjustWindowRectEx
       2005    4 00076E36 AlignRects
       2006    5 00052C1B AllowForegroundActivation
       2007    6 00052A8B AllowSetForegroundWindow
       2008    7 000726FF AnimateWindow
       2009    8 0007222E AnyPopup
       2010    9 00037946 AppendMenuA
       2011    A 00054AF2 AppendMenuW
       2012    B 000526C3 ArrangeIconicWindows
       2013    C 00075B87 AttachThreadInput
       2014    D 0001EEDA BeginDeferWindowPos
       2015    E 0001C0BB BeginPaint
       2016    F 00075CC6 BlockInput
       2017   10 00021EE8 BringWindowToTop
       2018   11 000745AF BroadcastSystemMessage
       2019   12 000745AF BroadcastSystemMessageA
       2020   13 00074588 BroadcastSystemMessageExA
       2021   14 00054B72 BroadcastSystemMessageExW
       2022   15 0003B1EF BroadcastSystemMessageW
       2023   16 0006FFB5 BuildReasonArray
       2024   17 0001E83D CalcMenuBar
       2025   18 00074CE8 CallMsgFilter
       2026   19 00074CE8 CallMsgFilterA
       2027   1A 0002816B CallMsgFilterW
       2028   1B 00017BB3 CallNextHookEx
       2029   1C 0001F623 CallWindowProcA
       2030   1D 0001C487 CallWindowProcW
       2031   1E 0005A254 CancelShutdown
       2032   1F 000526DB CascadeChildWindows
       2033   20 0006BA23 CascadeWindows
       2034   21 0001ECA3 ChangeClipboardChain
       2035   22 00074F11 ChangeDisplaySettingsA
       2036   23 00074C3E ChangeDisplaySettingsExA
       2037   24 00059E41 ChangeDisplaySettingsExW
       2038   25 0005A067 ChangeDisplaySettingsW
       2039   26 0006BE79 ChangeMenuA
       2040   27 0006BDD6 ChangeMenuW
       2041   28 0006E1EB ChangeWindowMessageFilter
       2042   29 00021A3C CharLowerA
       2043   2A 0002654D CharLowerBuffA
       2044   2B 0002183A CharLowerBuffW
       2045   2C 00021876 CharLowerW
       2046   2D 0001A4C7 CharNextA
       2047   2E 00071E26 CharNextExA
       2048   2F 0001A47F CharNextW
       2049   30 0001D9DD CharPrevA
       2050   31 00071E5D CharPrevExA
       2051   32 0001A4F0 CharPrevW
       2052   33 0001BE7C CharToOemA
       2053   34 000377FD CharToOemBuffA
       2054   35 0006EBEE CharToOemBuffW
       2055   36 0006EB97 CharToOemW
       2056   37 000176B4 CharUpperA
       2057   38 00017965 CharUpperBuffA
       2058   39 00017678 CharUpperBuffW
       2059   3A 000176F5 CharUpperW
       2060   3B 00075D57 CheckDesktopByThreadId
       2061   3C 00031607 CheckDlgButton
       2062   3D 00035ED5 CheckMenuItem
       2063   3E 0006C01A CheckMenuRadioItem
       2064   3F 0005C815 CheckRadioButton
       2065   40 000788B4 CheckWindowThreadDesktop
       2066   41 00051C71 ChildWindowFromPoint
