Microsoft (R) COFF/PE Dumper Version 8.00.50727.762
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\windows\system32\ws2_32.dll

File Type: DLL

  Section contains the following exports for WS2_32.dll

    00000000 characteristics
    49E02E2D time date stamp Sat Apr 11 07:44:13 2009
        0.00 version
           1 ordinal base
         500 number of functions
         182 number of names

    ordinal hint RVA      name

         25    0 00015B50 FreeAddrInfoEx
         26    1 00015B50 FreeAddrInfoExW
         27    2 00002FA0 FreeAddrInfoW
         28    3 0002D290 GetAddrInfoExA
         29    4 0002C7F0 GetAddrInfoExW
         30    5 00002BA0 GetAddrInfoW
         31    6 00005100 GetNameInfoW
         32    7 00015F60 InetNtopW
         33    8 00016040 InetPtonW
         34    9 00026DF0 SetAddrInfoExA
         35    A 00026B90 SetAddrInfoExW
        500    B 00011F80 WEP
         36    C 0001EEB0 WPUCompleteOverlappedRequest
         37    D 00005240 WSAAccept
         38    E 00003540 WSAAddressToStringA
         39    F 00004E30 WSAAddressToStringW
         40   10 00021E90 WSAAdvertiseProvider
        102   11 00027AB0 WSAAsyncGetHostByAddr
        103   12 00027B90 WSAAsyncGetHostByName
        105   13 000279B0 WSAAsyncGetProtoByName
        104   14 000278F0 WSAAsyncGetProtoByNumber
        107   15 00027D50 WSAAsyncGetServByName
        106   16 00027C90 WSAAsyncGetServByPort
        101   17 0002AAF0 WSAAsyncSelect
        108   18 0001FDF0 WSACancelAsyncRequest
        113   19 00015090 WSACancelBlockingCall
        116   1A 000098B0 WSACleanup
         41   1B 00001480 WSACloseEvent
         42   1C 0002A600 WSAConnect
         43   1D 0002C160 WSAConnectByList
         44   1E 0002D760 WSAConnectByNameA
         45   1F 0002D3E0 WSAConnectByNameW
         46   20 000014B0 WSACreateEvent
         47   21 0002BE20 WSADuplicateSocketA
         48   22 0002B010 WSADuplicateSocketW
         49   23 00020540 WSAEnumNameSpaceProvidersA
         50   24 00020440 WSAEnumNameSpaceProvidersExA
         58   25 000203C0 WSAEnumNameSpaceProvidersExW
         59   26 000204C0 WSAEnumNameSpaceProvidersW
         60   27 00002710 WSAEnumNetworkEvents
         61   28 00025150 WSAEnumProtocolsA
         62   29 00024780 WSAEnumProtocolsW
         63   2A 00002600 WSAEventSelect
        111   2B 00001280 WSAGetLastError
         64   2C 00023660 WSAGetOverlappedResult
         65   2D 0002AF40 WSAGetQOSByName
         66   2E 0001F0B0 WSAGetServiceClassInfoA
         67   2F 0001EF50 WSAGetServiceClassInfoW
         68   30 000239A0 WSAGetServiceClassNameByClassIdA
         69   31 00023750 WSAGetServiceClassNameByClassIdW
         70   32 0002A3A0 WSAHtonl
         71   33 0002A2B0 WSAHtons
         72   34 00023E80 WSAInstallServiceClassA
         73   35 00023D50 WSAInstallServiceClassW
         74   36 000029B0 WSAIoctl
        114   37 00020050 WSAIsBlocking
         75   38 0002A4A0 WSAJoinLeaf
         76   39 0000A5C0 WSALookupServiceBeginA
         77   3A 00003A90 WSALookupServiceBeginW
         78   3B 00004210 WSALookupServiceEnd
         79   3C 0000AB90 WSALookupServiceNextA
         80   3D 00003F80 WSALookupServiceNextW
         81   3E 000221C0 WSANSPIoctl
