Microsoft (R) COFF/PE Dumper Version 9.00.30729.01
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\Windows\System32\urlmon.dll

File Type: DLL

  Section contains the following exports for urlmon.dll

    00000000 characteristics
    4B0775DA time date stamp Sat Nov 21 06:08:42 2009
        0.00 version
         100 ordinal base
         359 number of functions
         117 number of names

    ordinal hint RVA      name

        109    0 0006E3D0 AsyncGetClassBits = AsyncGetClassBits
        110    1 0006E350 AsyncInstallDistributionUnit = AsyncInstallDistributionUnit
        117    2 000516F0 BindAsyncMoniker = BindAsyncMoniker
        118    3 0006FEF0 CDLGetLongPathNameA = CDLGetLongPathNameA
        119    4 0006FF10 CDLGetLongPathNameW = CDLGetLongPathNameW
        120    5 0006DB30 CoGetClassObjectFromURL = CoGetClassObjectFromURL
        121    6 0006E2B0 CoInstall = CoInstall
        122    7 000103E0 CoInternetCanonicalizeIUri = CoInternetCanonicalizeIUri
        123    8 00017030 CoInternetCombineIUri = CoInternetCombineIUri
        124    9 0001BF10 CoInternetCombineUrl = CoInternetCombineUrl
        125    A 0001BC30 CoInternetCombineUrlEx = CoInternetCombineUrlEx
        126    B 00055100 CoInternetCompareUrl = CoInternetCompareUrl
        127    C 0001E720 CoInternetCreateSecurityManager = CoInternetCreateSecurityManager
        128    D 00008920 CoInternetCreateZoneManager = CoInternetCreateZoneManager
        129    E 0009C5D0 CoInternetFeatureSettingsChanged = CoInternetFeatureSettingsChanged
        130    F 000A0480 CoInternetGetProtocolFlags = ?SetPriority@CBaseProtocol@@UEAAJJ@Z (public: virtual long __cdecl CBaseProtocol::SetPriority(long))
        131   10 00054770 CoInternetGetSecurityUrl = CoInternetGetSecurityUrl
        132   11 00054CA0 CoInternetGetSecurityUrlEx = CoInternetGetSecurityUrlEx
        133   12 0002C430 CoInternetGetSession = CoInternetGetSession
        134   13 000015C0 CoInternetIsFeatureEnabled = CoInternetIsFeatureEnabled
        135   14 00021210 CoInternetIsFeatureEnabledForIUri = CoInternetIsFeatureEnabledForIUri
        136   15 0001D300 CoInternetIsFeatureEnabledForUrl = CoInternetIsFeatureEnabledForUrl
        137   16 00055830 CoInternetIsFeatureZoneElevationEnabled = CoInternetIsFeatureZoneElevationEnabled
        138   17 0002BA80 CoInternetParseIUri = CoInternetParseIUri
        139   18 0001EBC0 CoInternetParseUrl = CoInternetParseUrl
        140   19 00016560 CoInternetQueryInfo = CoInternetQueryInfo
        141   1A 00055A50 CoInternetSetFeatureEnabled = CoInternetSetFeatureEnabled
        142   1B 00020D30 CompareSecurityIds = CompareSecurityIds
        143   1C 0001C260 CompatFlagsFromClsid = CompatFlagsFromClsid
        144   1D 00014690 CopyBindInfo = CopyBindInfo
        145   1E 00014780 CopyStgMedium = CopyStgMedium
        146   1F 00051480 CreateAsyncBindCtx = CreateAsyncBindCtx
        147   20 0001FA90 CreateAsyncBindCtxEx = CreateAsyncBindCtxEx
        148   21 0002BF00 CreateFormatEnumerator = CreateFormatEnumerator
        149   22 0000B3C0 CreateIUriBuilder = CreateIUriBuilder
        150   23 00015770 CreateURLMoniker = CreateURLMoniker
